ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,AC,Acre,Rural,Estadual,12000930,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12000973,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12001015,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12001104,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12001317,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12001406,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12001490,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12001554,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12001627,1,0,1
2024,Norte,AC,Acre,Urbana,Estadual,12020249,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12020672,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12030201,0,0,0
2024,Norte,AC,Acre,Rural,Federal,12030937,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12031780,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12031798,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12031801,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12031810,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12031828,0,0,0
2024,Norte,AC,Acre,Urbana,Estadual,12033537,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12097225,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12017060,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12031674,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12004022,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12004120,1,0,1
2024,Norte,AC,Acre,Urbana,Estadual,12004197,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12004260,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12004413,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12004472,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12004600,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12004642,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12004650,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12004669,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12004685,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12004847,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12020826,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12022438,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12023191,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12023710,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12027235,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12028975,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12031909,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12032794,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12131229,1,0,0
2024,Norte,AC,Acre,Urbana,Estadual,12030155,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12033197,0,1,1
2024,Norte,AC,Acre,Rural,Estadual,12001805,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12001821,1,0,1
2024,Norte,AC,Acre,Urbana,Estadual,12001945,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12002046,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12002062,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12002097,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12002275,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12027804,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12033421,0,0,1
2024,Norte,AC,Acre,Urbana,Estadual,12006920,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12026328,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12033162,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12033189,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12010391,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12010790,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12019178,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12023779,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12031453,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12010731,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12003034,0,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12003050,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12003263,0,1,0
2024,Norte,AC,Acre,Rural,Estadual,12032611,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12062227,0,1,0
2024,Norte,AC,Acre,Rural,Estadual,12011070,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12011134,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12011320,1,1,1
2024,Norte,AC,Acre,Urbana,Federal,12011410,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12011428,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12011444,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12011517,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12011584,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012017,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012106,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012181,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012297,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012360,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012416,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012432,0,1,0
2024,Norte,AC,Acre,Rural,Estadual,12012459,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012556,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012564,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012580,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12012750,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012823,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12012858,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12013161,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12013170,1,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12013242,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12013340,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12013510,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12013595,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12014001,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12014052,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12015172,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12018678,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12020290,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12021636,0,1,0
2024,Norte,AC,Acre,Rural,Estadual,12027332,1,0,0
2024,Norte,AC,Acre,Urbana,Estadual,12027340,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12027359,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12027367,0,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12027758,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12028037,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12028797,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12028819,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12028827,1,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12028860,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12029564,1,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12030562,1,1,1
2024,Norte,AC,Acre,Urbana,Federal,12030961,1,1,1
2024,Norte,AC,Acre,Urbana,Federal,12032093,1,1,1
